Rank,Peak,All_Time_Peak,Actual_gross,Adjusted_gross (in 2022 dollars),Artist,Tour_title,Years,Shows,Average gross,Ref.
1,1,2,"$780,000,000.00","$780,000,000",Taylor Swift,The Eras Tour,2023–2024,56,"$13,928,571",1
2,1,72,"$579,800,000.00","$579,800,000",Beyoncé,Renaissance World Tour,2023,56,"$10,353,571",3
3,14,25,"$411,000,000.00","$560,622,615",Madonna,Sticky & Sweet Tour4a,2008–2009,85,"$4,835,294",6
4,27,107,"$397,300,000.00","$454,751,555",Pink,Beautiful Trauma World Tour,2018–2019,156,"$2,546,795",7
5,24,Null,"$345,675,146.00","$402,844,849",Taylor Swift,Reputation Stadium Tour,2018,53,"$6,522,173",8
6,24,109,"$305,158,363.00","$388,978,496",Madonna,The MDNA Tour,2012,88,"$3,467,709",9
7,210,Null,"$280,000,000.00","$381,932,682",Celine Dion,Taking Chances World Tour,2008–2009,131,"$2,137,405",11
7,Null,Null,"$257,600,000.00","$257,600,000",Pink,Summer Carnival,2023–2024,41,"$6,282,927",12
9,Null,Null,"$256,084,556.00","$312,258,401",Beyoncé,The Formation World Tour,2016,49,"$5,226,215",13
10,Null,Null,"$250,400,000.00","$309,141,878",Taylor Swift,The 1989 World Tour,2015,85,"$2,945,882",14
11,Null,Null,"$229,100,000b","$283,202,896",Beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,"$1,735,606",15
12,Null,1417,"$227,400,000.00","$295,301,479",Lady Gaga,The Monster Ball Tour *,2009–2011,203,"$1,118,227",18
13,Null,Null,"$204,000,000.00","$251,856,802",Katy Perry,Prismatic World Tour,2014–2015,151,"$1,350,993",19
14,120,Null,"$200,000,000.00","$299,676,265",Cher,Living Proof: The Farewell Tour21a,2002–2005,325,"$615,385",20
15,2c,Null,"$194,000,000.00","$281,617,035",Madonna,Confessions Tour,2006,60,"$3,233,333",5
16,Null,Null,"$184,000,000.00","$227,452,347",Pink,The Truth About Love Tour,2013–2014,142,"$1,295,775",22
17,Null,Null,"$170,000,000.00","$213,568,571",Lady Gaga,Born This Way Ball,2012–2013,98,"$1,734,694",16
18,Null,Null,"$169,800,000.00","$207,046,755",Madonna,Rebel Heart Tour,2015–2016,82,"$2,070,732",4
19,Null,Null,"$167,700,000e","$204,486,106",Adele,Adele Live 2016,2016–2017,121,"$1,385,950",25
20,Null,Null,"$150,000,000.00","$185,423,109",Taylor Swift,The Red Tour,2013–2014,86,"$1,744,186",26
